TRX-1765122229902,BRG001,1,2800.0,3500.0,2025-12-07 22:43:49
TRX-1765122229902,BRG002,1,3200.0,4000.0,2025-12-07 22:43:49
TRX-1765122297689,BRG004,2,4800.0,6000.0,2025-12-07 22:44:57
TRX-1765122648950,BRG002,1,3200.0,4000.0,2025-12-07 22:50:48
TRX-1765122951316,BRG001,1,2800.0,3500.0,2025-12-07 22:55:51
TRX-1765123107728,BRG001,1,2800.0,3500.0,2025-12-07 22:58:27
TRX-1765139797693,BRG002,8,3200.0,4000.0,2025-12-08 03:36:37
TRX-1765139797693,BRG004,8,4800.0,6000.0,2025-12-08 03:36:37
TRX-1765157764695,BRG002,1,3200.0,4000.0,2025-12-08 08:36:04
TRX-1765195914177,BRG003,1,4400.0,5500.0,2025-12-08 19:11:54
TRX-1765311287262,BRG003,1,4400.0,5500.0,2025-12-10 03:14:47
TRX-1765334000348,BRG001,1,2500.0,3500.0,2025-12-10 09:33:20
